NOME_DA_ESTACAO,MUNICIPIO,LATITUDE,LONGITUDE
Abreu_e_Lima,Abreu_e_Lima,-7.9281,-34.9
Afogados_da_Ingazeira,Afogados_da_Ingazeira,-7.7503,-37.6406
Afranio ,Afranio ,-8.5167,-41.005
Afranio - PCD ,Afranio ,-8.5186,-41.0103
Agrestina ,Agrestina ,-8.4578,-35.9536
Agua Preta ,Agua Preta ,-8.7025,-35.5219
Aguas Belas ,Aguas Belas ,-9.1292,-37.0368
Aguas Belas (Centro) ,Aguas Belas ,-9.116,-37.118
Alagoinha ,Alagoinha ,-8.4661,-36.7739
Alianca ,Alianca ,-7.6042,-35.2333
Altinho ,Altinho ,-8.4906,-36.0597
Amaraji ,Amaraji ,-8.3778,-35.4472
Angelim ,Angelim ,-8.8883,-36.2861
Aracoiaba (Granja Cristo Redentor) ,Aracoiaba ,-7.7986,-35.1036
Araripina ,Araripina ,-7.5767,-40.5058
Araripina - PCD ,Araripina ,-7.4583,-40.4172
Arcoverde - INMET ,Arcoverde ,-8.4336,-37.0556
Barra de Guabiraba ,Barra de Guabiraba ,-8.4189,-35.6597
Barreiros ,Barreiros ,-8.79917,-35.205
Barreiros - PCD ,Barreiros ,-8.8236,-35.1936
Belem de Maria ,Belem de Maria ,-8.62472,-35.841389
Belem de Sao Francisco (CHESF) ,Belem de Sao Francisco ,-8.75,-38.9667
Belem de Sao Francisco (Ibo - CHESF) ,Belem de Sao Francisco ,-8.6167,-39.25
Belem de Sao Francisco (IPA) ,Belem de Sao Francisco ,-8.7583,-38.9822
Belem de Sao Francisco - PCD ,Belem de Sao Francisco ,-8.7578,-38.9822
Belo Jardim ,Belo Jardim ,-8.3367,-36.4253
Belo Jardim (Acude Bituri) ,Belo Jardim ,-8.3147,-36.4267
Betania ,Betania ,-8.2708,-38.0331
Bezerros ,Bezerros ,-8.2433,-35.7528
Bodoco ,Bodoco ,-7.7806,-39.9375
Bom Conselho (IPA) ,Bom Conselho ,-9.1725,-36.6928
Bom Jardim ,Bom Jardim ,-7.8017,-35.5678
Bonito ,Bonito ,-8.4797,-35.7367
Bonito (Fazenda Vila Bela) ,Bonito ,-8.4742,-35.7836
Brejao (IPA) ,Brejao ,-9.0158,-36.535
Brejao - PCD ,Brejao ,-9.0161,-36.5356
Brejinho ,Brejinho ,-7.3478,-37.2847
Brejo da Madre de Deus ,Brejo da Madre de Deus ,-8.1486,-36.3656
Brejo da Madre de Deus (Fazenda Nova) ,Brejo da Madre de Deus ,-8.1819,-36.1942
Buenos Aires ,Buenos Aires ,-7.7228,-35.3272
