Codigo,Posto,Ano,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
198,Abreu e Lima,2018,122.1,55.1,221.2,517.9,159.5,136.4,135.5,32.9,59.1,13.1,51,19.9
290,Afogados da Ingazeira,2018,104.4,216,181,259,45,-,2,-,2,-,70.5,13
1,Afranio,2018,54.8,96,143.9,91.6,-,-,-,-,-,32.5,1,31.5
369,Afranio - PCD,2018,-,-,-,-,0.8,0.8,-,-,-,21.1,-,14.2
115,Agrestina,2018,36.2,97.2,89.4,168.7,78.1,84.4,48.7,15,10.1,-,11,47.9
80,Agua Preta,2018,136,133,207.2,323,225.1,68,90.6,29.8,26.4,1,62.8,35.7
78,Aguas Belas,2018,43.1,56.5,81.5,42,73.1,24.7,32.5,3.2,12.8,-,9.9,29.6
607,Aguas Belas - PCD,2018,52.6,81.8,59.6,54.8,96.6,31.2,36.6,3.8,11.6,-,15.6,33.8
140,Alagoinha,2018,19.7,86.9,41.1,161.4,59.7,16.3,19.6,1.1,4.9,3.9,11.5,64.9
66,Alianca,2018,94.4,162.4,85.1,242.5,104,75.5,65.2,17.1,11.9,1.8,16.8,35.3
116,Altinho,2018,81,85.2,101.8,149.9,62.3,48.8,35.1,13.5,6.3,0.2,10.1,20.3
105,Amaraji,2018,278.5,306,283.5,466.5,307,200,172.5,97.5,52,1,106.5,56.9
52,Angelim,2018,100.3,97.9,52.9,118.1,115.7,63.8,52.9,31.9,12.6,1.4,6.5,38.8
309,Aracoiaba (Granja Cristo Redentor),2018,99.9,136.4,115.2,392.1,190.8,97.6,66.2,24.4,25.2,8.2,27.7,34.5
3,Araripina,2018,144.5,158.4,85,125.3,6.1,-,-,-,-,71.9,5,193.7
225,Araripina - PCD,2018,43.4,132.4,125.8,143,9.6,3.6,0.2,0.2,-,19,20.4,212.1
16,Arcoverde (INMET),2018,45.9,157.9,124.6,87,70.1,8.6,26,5.3,18,14.7,31,16.6
459,Barra de Guabiraba,2018,133.1,142.8,134.5,276.3,175.8,104.3,95,43.6,30.4,3.6,51.1,50
106,Barreiros,2018,221.8,161.4,179.2,489.6,317.1,104.1,103.7,59.3,42.3,10.2,44,44.2
314,Barreiros - PCD,2018,-,-,174.4,606.6,277.2,126,146.9,80.2,56.7,19.4,45.2,15.1
530,Belem de Maria,2018,115.7,158.7,133.2,256.8,186.1,83,79.3,36.6,38.7,-,93.2,-
35,Belem de Sao Francisco (CHESF),2018,14.6,122.9,73,27.8,3.7,3.1,-,-,-,9.3,7.3,42.9
34,Belem de Sao Francisco (Ibo - CHESF),2018,36.3,156.8,44.7,85.2,8.2,3.2,-,-,-,-,0.5,64.5
9,Belem de Sao Francisco (IPA),2018,8,147,54,29,3.7,5.8,-,-,-,6,7.4,53.2
257,Belem de Sao Francisco - PCD,2018,-,-,-,-,-,-,-,-,-,-,-,-
20,Belo Jardim,2018,34.8,35.5,125.5,150.1,38.3,28.8,28.6,9,2.8,-,5.1,33.4
374,Belo Jardim (Acude Bituri),2018,28.5,35.6,113.7,172,67.1,32.8,41.9,4.6,2.3,-,5.6,39.5
93,Betania,2018,46.8,196.9,120.3,67.5,5.9,-,-,-,-,6.3,25.4,30.4
67,Bezerros,2018,17.5,140.5,49,186,44.5,21,10,10,3.5,1,3,17
50,Bodoco,2018,40.2,73.2,106.8,256.5,16,-,-,-,-,84.2,-,247
17,Bom Conselho (IPA),2018,50.1,43.3,11.6,93.8,64.7,31,26.3,11.1,3,-,3.4,13.2
139,Bom Jardim,2018,91.5,84.8,95.3,205,65.7,62.7,17.5,14.2,11.8,9.5,23.3,25.3
464,Bonito,2018,109.5,175.5,149.7,263,150,103,69.6,33.2,24.2,-,18.2,32.1
469,Bonito (Fazenda Vila Bela),2018,65.6,187.8,105.9,184.2,107.9,82.6,64.7,23.8,14.4,-,-,2.8
293,Brejao (IPA),2018,48.2,79.5,65,187.9,164,74.3,122.5,39,17.5,-,7,42.7
443,Brejao - PCD,2018,-,-,65,-,-,-,-,-,-,-,-,-
473,Brejinho,2018,88,180.4,174.4,193.8,70.6,-,-,-,-,30,9,45.8
68,Brejo da Madre de Deus,2018,12,101,165.5,163,57.5,21.5,12.5,-,9.5,2,2.5,48
113,Brejo da Madre de Deus (Fazenda Nova),2018,49.7,56.1,73.9,131,5.4,-,-,-,-,-,-,-
96,Buenos Aires,2018,9.9,133.6,78.9,217.2,75.2,47.8,43.7,21.3,6,2.7,15.6,38.3
145,Buique,2018,99.8,146.1,83.4,41.2,113.8,10.7,29,12.1,3.1,32,67,26.7
301,Cabo,2018,118.4,309,98.4,556.6,184.5,18.8,-,-,-,-,-,-
490,Cabo (Barragem de Gurjau),2018,96.2,247.4,226.2,499.1,230.6,108.5,160,54.2,35.1,7.4,46.5,83.9
491,Cabo (Barragem de Suape),2018,108.9,195.6,193.4,635.7,202.5,165,94.3,89.7,18.9,25.4,80.1,46.5
603,Cabo (Pirapama),2018,145.7,310.4,178.8,601.3,216.3,128.5,115.3,52.8,29.9,19.2,89.3,83.1
7,Cabrobo,2018,29.5,184.1,40.1,61,-,-,-,-,-,7.5,-,155.2
125,Cachoeirinha,2018,24.4,37.7,146.3,217.7,70.4,27.6,32.7,3.3,2.2,-,2.5,28.3
286,Caetes,2018,30.5,118.8,96.9,110.6,84.1,24.7,28.6,16.5,14.1,3.3,10,26.5
279,Calcados,2018,28,101,29,130,85,31,44,22,7,-,25,25
91,Calumbi,2018,69.8,231.7,62.6,79.1,28.1,-,14,-,-,16.2,36,126.4
201,Camaragibe,2018,156.5,164.8,176.4,447.4,200.1,152.8,97.2,80.9,40,29.5,58,79.7
282,Camocim de Sao Felix,2018,59.5,66.2,114.8,210,110.8,71.9,70.7,28.7,17.1,0.2,25.9,36.4
514,Camutanga,2018,110,145.6,123.9,204.6,97.2,81.5,60.2,15.1,9.3,9.3,14.5,77.2
53,Canhotinho,2018,70.7,118,70.8,162.4,153.8,65.5,94.1,24.9,21.6,1.3,10,42
287,Capoeiras,2018,13.4,93,168.6,191.1,136.6,33.3,38.2,25.3,23.8,10.8,10.1,34.9
184,Carnaiba,2018,46.5,315,295,234,59,-,32,-,-,3,78,35.5
288,Carnaubeira da Penha,2018,44,176.5,80,23,25.1,3,1,-,-,9.5,13,89
95,Carpina (Est. Exp. de Cana-de-Acucar),2018,74.1,105.2,146.2,187.2,108.5,66.8,32.1,20.3,20.8,7.5,14.3,2.8
224,Carpina - PCD,2018,75.8,100.8,140,196.4,87.8,65.5,-,-,19.6,7.6,13,50.2
211,Caruaru,2018,23.4,29.6,87.2,200.5,40.7,15.3,14.3,8.4,3.2,-,-,9.7
24,Caruaru (IPA),2018,29.6,42.7,62.5,197.2,62.6,40.3,32.9,14.9,10.9,3.8,8.1,1.6
302,Casinhas,2018,87.7,68.1,167.4,182,78.2,35.5,17.9,-,3.4,-,11.4,20.3
527,Catende,2018,102.8,138,149.5,359.5,169.3,95.6,91.1,33.7,31.3,0.6,70.8,53.6
82,Cedro,2018,29.5,309,18,243,20,-,-,-,-,69.9,4.5,125
522,Cha de Alegria,2018,85,58,117.7,301.3,126.9,43.1,27.4,19.5,23.1,2.8,31.2,89
117,Cha Grande,2018,202.9,106.3,111.8,270.4,119.9,77.9,55.2,16.3,12.9,2.1,40.1,23.4
131,Condado,2018,114,210.5,284,298,155.9,108.5,106.3,27,18,8,18,41
22,Correntes,2018,131.4,128,52,179.5,225.5,116,126.5,44.7,32.3,-,20.2,85.5
103,Cortes,2018,128.6,211.1,154.8,291,157.8,109,181.5,49.9,22.2,4.6,-,-
144,Cumaru,2018,74.4,66.7,81.1,140,86.3,28.2,13.8,2.4,0.5,-,11.3,27.9
118,Cupira,2018,57,148.5,89.3,153.1,64.3,57.5,56.5,13.1,10.5,-,37,21.2
606,Cupira - PCD,2018,88.4,85,74,154.2,66.8,63.8,48.8,15.4,14.8,3.8,37.8,25
